mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.5525566736857096,0.023268788584432494,0.011606057484944662,0.0022584081856393433,0.8,7,100,0.9,"{'colsample_bylevel': 0.8, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.9}",-0.1837972486772414,-0.18755718461543922,-0.19153384346276997,-0.1876294255851502,0.003158864647004844,1,-0.17285432001196374,-0.1760760853822835,-0.17706323664423754,-0.17533121401282825,0.0017971959310980991
0.5488260587056478,0.01903474575475755,0.01506662368774414,0.004196935401807014,0.8,7,100,0.8,"{'colsample_bylevel': 0.8, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-0.18259895358681846,-0.18841954912597036,-0.19187440828432512,-0.1876309703323713,0.003827523772768338,2,-0.17211935840163492,-0.1772857137840694,-0.17978803020083395,-0.17639770079551276,0.003193071362793885
0.5920842488606771,0.015280810564047292,0.012753486633300781,0.0014373026156849471,1,7,100,0.9,"{'colsample_bylevel': 1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.9}",-0.18264802397901808,-0.19067511958242622,-0.190207144928674,-0.1878434294967061,0.0036786708595230385,3,-0.17234786623051107,-0.17773212996732196,-0.17838887580939822,-0.1761562906690771,0.0027062768155371995
0.43630266189575195,0.01248824130400199,0.010753790537516275,0.001393523905671357,0.9,7,75,0.8,"{'colsample_bylevel': 0.9, 'max_depth': 7, 'n_estimators': 75, 'subsample': 0.8}",-0.18200875596381963,-0.1888704370692048,-0.19349386120610862,-0.18812435141304432,0.0047183608355275105,4,-0.16887140747539287,-0.17693329659250412,-0.18003038339407726,-0.17527836248732476,0.004703529955101731
0.48743510246276855,0.072602130018969,0.007378896077473958,0.001973191938285613,1,7,100,1,"{'colsample_bylevel': 1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1}",-0.18156741073128607,-0.19008532468097294,-0.1929488300424837,-0.18820052181824756,0.004833807178462189,5,-0.17146286737832267,-0.1774696119364501,-0.17892945057683965,-0.17595397663053747,0.003231132819976164
0.5773847103118896,0.045350514772542795,0.010070880254109701,0.0002708662647362249,0.9,7,100,0.8,"{'colsample_bylevel': 0.9, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-0.18560457872777936,-0.18819658051726532,-0.19088424072680188,-0.18822846665728218,0.0021555309091458195,6,-0.17233273117640024,-0.1765439129274684,-0.1781315448525578,-0.17566939631880882,0.0024467862577694423
0.5304020245869955,0.013986006916864017,0.010271549224853516,0.00038706025777707583,0.9,7,100,1,"{'colsample_bylevel': 0.9, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1}",-0.18481073684037722,-0.1894502832438356,-0.1905488650273903,-0.1882699617038677,0.002486818312078392,7,-0.1724618460169821,-0.1784521781598372,-0.17722834137622712,-0.1760474551843488,0.0025841683309538637
0.39932998021443683,0.00457808854243121,0.01241159439086914,0.0017385917965207737,0.8,7,75,1,"{'colsample_bylevel': 0.8, 'max_depth': 7, 'n_estimators': 75, 'subsample': 1}",-0.1836447569545564,-0.18957933417079587,-0.1916686421471992,-0.18829757775751718,0.003398809401679155,8,-0.1743068861806601,-0.17766590010263397,-0.17750843612536846,-0.17649374080288752,0.001547675370806623
0.4246537685394287,0.004740557185628826,0.010180314381917318,0.0005901657022814208,1,7,75,1,"{'colsample_bylevel': 1, 'max_depth': 7, 'n_estimators': 75, 'subsample': 1}",-0.18486263444124376,-0.1894282595648765,-0.19147851324208864,-0.18858980241606962,0.0027652270394618204,9,-0.17459898714547917,-0.17610150656604778,-0.17850344262159448,-0.1764013121110405,0.0016080227330167512
0.4652256965637207,0.004723553413960419,0.01228642463684082,0.001948055790887956,0.8,7,75,0.8,"{'colsample_bylevel': 0.8, 'max_depth': 7, 'n_estimators': 75, 'subsample': 0.8}",-0.18364343455669943,-0.18954705301818792,-0.19291942740745455,-0.18870330499411395,0.0038336182985017806,10,-0.17218211552502224,-0.17714319501079648,-0.17920706271646036,-0.1761774577507597,0.002948101886772922
0.5700182914733887,0.011167644203324806,0.012684901555379232,0.0036810199297813346,0.9,7,100,0.9,"{'colsample_bylevel': 0.9, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.9}",-0.1831954085458063,-0.19042103754698803,-0.19260303627416397,-0.18873982745565276,0.004020424139917472,11,-0.17260358266310336,-0.1790698925161876,-0.17925521659550012,-0.17697623059159703,0.003092854526540516
0.5818502902984619,0.01604223792531998,0.011429468790690104,0.001090989634018116,1,7,100,0.8,"{'colsample_bylevel': 1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-0.1836747865095915,-0.1903605053012535,-0.19249582187246814,-0.18884370456110436,0.003757497357042123,12,-0.1724712023858143,-0.17842560971658256,-0.17954370811775905,-0.17681350674005195,0.003104216630896537
0.4428705374399821,0.01642344239462506,0.010665019353230795,0.0005346881435852582,0.8,7,75,0.9,"{'colsample_bylevel': 0.8, 'max_depth': 7, 'n_estimators': 75, 'subsample': 0.9}",-0.18441359455931902,-0.18987447288464088,-0.19353944953839472,-0.18927583899411823,0.0037495847926529956,13,-0.17344662816772882,-0.17776836008516728,-0.1803943898522497,-0.17720312603504862,0.00286443307419162
